Product ID,Month,Search Interest,Units Sold
GROC001,2024-01,0,0
GROC001,2024-02,0,0
GROC001,2024-03,0,0
GROC001,2024-04,0,0
GROC001,2024-05,0,0
GROC001,2024-06,0,0
GROC001,2024-07,0,0
GROC001,2024-08,0,0
GROC001,2024-09,0,0
GROC001,2024-10,0,0
GROC001,2024-11,0,0
GROC001,2024-12,0,0
GROC002,2024-01,0,0
GROC002,2024-02,0,0
GROC002,2024-03,0,0
GROC002,2024-04,0,0
GROC002,2024-05,0,0
GROC002,2024-06,0,0
GROC002,2024-07,0,0
GROC002,2024-08,23,690
GROC002,2024-09,0,0
GROC002,2024-10,19,570
GROC002,2024-11,0,0
GROC002,2024-12,0,0
GROC003,2024-01,0,0
GROC003,2024-02,0,0
GROC003,2024-03,0,0
GROC003,2024-04,0,0
GROC003,2024-05,0,0
GROC003,2024-06,0,0
GROC003,2024-07,0,0
GROC003,2024-08,0,0
GROC003,2024-09,0,0
GROC003,2024-10,0,0
GROC003,2024-11,0,0
GROC003,2024-12,0,0
GROC004,2024-01,0,0
GROC004,2024-02,0,0
GROC004,2024-03,0,0
GROC004,2024-04,0,0
GROC004,2024-05,0,0
GROC004,2024-06,0,0
GROC004,2024-07,20,600
GROC004,2024-08,0,0
GROC004,2024-09,0,0
GROC004,2024-10,0,0
GROC004,2024-11,0,0
GROC004,2024-12,0,0
GROC005,2024-01,0,0
GROC005,2024-02,0,0
GROC005,2024-03,0,0
GROC005,2024-04,0,0
GROC005,2024-05,0,0
GROC005,2024-06,0,0
GROC005,2024-07,0,0
GROC005,2024-08,0,0
GROC005,2024-09,0,0
GROC005,2024-10,0,0
GROC005,2024-11,0,0
GROC005,2024-12,0,0
GROC006,2024-01,0,0
GROC006,2024-02,0,0
GROC006,2024-03,0,0
GROC006,2024-04,0,0
GROC006,2024-05,0,0
GROC006,2024-06,0,0
GROC006,2024-07,0,0
GROC006,2024-08,0,0
GROC006,2024-09,0,0
GROC006,2024-10,0,0
GROC006,2024-11,0,0
GROC006,2024-12,0,0
GROC007,2024-01,0,0
GROC007,2024-02,0,0
GROC007,2024-03,0,0
GROC007,2024-04,0,0
GROC007,2024-05,0,0
GROC007,2024-06,0,0
GROC007,2024-07,0,0
GROC007,2024-08,0,0
GROC007,2024-09,0,0
GROC007,2024-10,0,0
GROC007,2024-11,0,0
GROC007,2024-12,0,0
GROC008,2024-01,0,0
GROC008,2024-02,0,0
GROC008,2024-03,0,0
GROC008,2024-04,0,0
GROC008,2024-05,0,0
GROC008,2024-06,0,0
GROC008,2024-07,0,0
GROC008,2024-08,0,0
GROC008,2024-09,0,0
GROC008,2024-10,0,0
GROC008,2024-11,0,0
GROC008,2024-12,0,0
GROC009,2024-01,0,0
GROC009,2024-02,0,0
GROC009,2024-03,0,0
GROC009,2024-04,0,0
GROC009,2024-05,0,0
GROC009,2024-06,0,0
GROC009,2024-07,0,0
GROC009,2024-08,0,0
GROC009,2024-09,0,0
GROC009,2024-10,0,0
GROC009,2024-11,0,0
GROC009,2024-12,0,0
GROC010,2024-01,0,0
GROC010,2024-02,0,0
GROC010,2024-03,0,0
GROC010,2024-04,0,0
GROC010,2024-05,0,0
GROC010,2024-06,0,0
GROC010,2024-07,0,0
GROC010,2024-08,0,0
GROC010,2024-09,0,0
GROC010,2024-10,0,0
GROC010,2024-11,0,0
GROC010,2024-12,0,0
GROC011,2024-01,0,0
GROC011,2024-02,0,0
GROC011,2024-03,21,630
GROC011,2024-04,0,0
GROC011,2024-05,0,0
GROC011,2024-06,15,450
GROC011,2024-07,0,0
GROC011,2024-08,18,540
GROC011,2024-09,0,0
GROC011,2024-10,12,360
GROC011,2024-11,0,0
GROC011,2024-12,25,750
GROC012,2024-01,0,0
GROC012,2024-02,0,0
GROC012,2024-03,0,0
GROC012,2024-04,0,0
GROC012,2024-05,0,0
GROC012,2024-06,14,420
GROC012,2024-07,11,330
GROC012,2024-08,0,0
GROC012,2024-09,0,0
GROC012,2024-10,30,900
GROC012,2024-11,0,0
GROC012,2024-12,0,0
GROC013,2024-01,0,0
GROC013,2024-02,0,0
GROC013,2024-03,0,0
GROC013,2024-04,0,0
GROC013,2024-05,0,0
GROC013,2024-06,0,0
GROC013,2024-07,0,0
GROC013,2024-08,0,0
GROC013,2024-09,0,0
GROC013,2024-10,0,0
GROC013,2024-11,0,0
GROC013,2024-12,0,0
GROC014,2024-01,0,0
GROC014,2024-02,0,0
GROC014,2024-03,0,0
GROC014,2024-04,0,0
GROC014,2024-05,0,0
GROC014,2024-06,0,0
GROC014,2024-07,0,0
GROC014,2024-08,0,0
GROC014,2024-09,18,540
GROC014,2024-10,0,0
